STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
      19207;2023050212;    3;    9.5;  52.0;eor
      19207;2023050218;    3;    9.5;  57.0;eor
      19207;2023050300;    3;    3.4;  82.0;eor
      19207;2023050306;    3;    6.1;  83.0;eor
      19207;2023050312;    3;   10.8;  53.0;eor
      19207;2023050318;    3;   10.0;  55.0;eor
      19207;2023050400;    3;    2.4;  94.0;eor
      19207;2023050406;    3;    6.4;  83.0;eor
      19207;2023050412;    3;   13.5;  45.0;eor
      19207;2023050418;    3;   11.7;  57.0;eor
      19207;2023050500;    3;    8.0;  77.0;eor
      19207;2023050506;    3;    8.5;  72.0;eor
      19207;2023050512;    3;   11.5;  60.0;eor
      19207;2023050518;    3;    8.6;  67.0;eor
      19207;2023050600;    3;    6.7;  82.0;eor
      19207;2023050606;    3;    5.1;  90.0;eor
      19207;2023050612;    3;    8.2;  82.0;eor
      19207;2023050618;    3;    8.6;  86.0;eor
      19207;2023050700;    3;    8.0;  90.0;eor
      19207;2023050706;    3;    8.9;  79.0;eor
      19207;2023050712;    3;   16.0;  46.0;eor
      19207;2023050718;    3;   15.5;  45.0;eor
      19207;2023050800;    3;    6.3;  82.0;eor
      19207;2023050806;    3;    8.9;  69.0;eor
      19207;2023050812;    3;   16.9;  33.0;eor
      19207;2023050818;    3;   17.1;  35.0;eor
      19207;2023050900;    3;    9.7;  63.0;eor
      19207;2023050906;    3;   11.1;  54.0;eor
      19207;2023050912;    3;   18.2;  30.0;eor
      19207;2023050918;    3;   17.3;  35.0;eor
      19207;2023051000;    3;   11.2;  59.0;eor
      19207;2023051006;    3;   12.1;  58.0;eor
      19207;2023051012;    3;   20.7;  43.0;eor
      19207;2023051018;    3;   16.6;  69.0;eor
      19207;2023051100;    3;   12.4;  94.0;eor
      19207;2023051106;    3;   12.0;  91.0;eor
      19207;2023051112;    3;   22.0;  37.0;eor
      19207;2023051118;    3;   20.1;  41.0;eor
      19207;2023051200;    3;   13.7;  65.0;eor
      19207;2023051206;    3;   13.3;  57.0;eor
      19207;2023051212;    3;   21.2;  29.0;eor
      19207;2023051218;    3;   18.2;  41.0;eor
      19207;2023051300;    3;    8.1;  83.0;eor
      19207;2023051306;    3;   12.2;  66.0;eor
      19207;2023051312;    3;   21.4;  25.0;eor
      19207;2023051318;    3;   18.7;  38.0;eor
      19207;2023051400;    3;    9.1;  81.0;eor
      19207;2023051406;    3;   11.8;  76.0;eor
      19207;2023051412;    3;   20.6;  33.0;eor
      19207;2023051418;    3;   17.6;  52.0;eor
      19207;2023051500;    3;   12.0;  75.0;eor
      19207;2023051506;    3;   12.8;  78.0;eor
      19207;2023051512;    3;   20.3;  45.0;eor
      19207;2023051518;    3;   16.3;  63.0;eor
      19207;2023051600;    3;   12.5;  80.0;eor
      19207;2023051606;    3;    9.9;  76.0;eor
      19207;2023051612;    3;   13.8;  43.0;eor
      19207;2023051618;    3;   10.4;  59.0;eor
      19207;2023051700;    3;    9.2;  82.0;eor
      19207;2023051706;    3;    8.1;  63.0;eor
      19207;2023051712;    3;   11.9;  51.0;eor
      19207;2023051718;    3;   10.9;  53.0;eor
      19207;2023051800;    3;    4.1;  87.0;eor
      19207;2023051806;    3;    7.0;  77.0;eor
      19207;2023051812;    3;   12.1;  47.0;eor
      19207;2023051818;    3;   11.3;  59.0;eor
      19207;2023051900;    3;    5.0;  88.0;eor
      19207;2023051906;    3;    8.4;  83.0;eor
      19207;2023051912;    3;   17.8;  39.0;eor
      19207;2023051918;    3;   15.4;  38.0;eor
      19207;2023052000;    3;    7.2;  79.0;eor
      19207;2023052006;    3;   11.0;  78.0;eor
      19207;2023052012;    3;   15.2;  63.0;eor
      19207;2023052018;    3;   15.2;  61.0;eor
      19207;2023052100;    3;   10.1;  85.0;eor
      19207;2023052106;    3;   14.6;  77.0;eor
      19207;2023052112;    3;   25.2;  50.0;eor
      19207;2023052118;    3;   21.7;  61.0;eor
      19207;2023052200;    3;   15.5;  75.0;eor
      19207;2023052206;    3;   17.2;  65.0;eor
      19207;2023052212;    3;   24.7;  28.0;eor
      19207;2023052218;    3;   20.8;  51.0;eor
      19207;2023052300;    3;   15.2;  67.0;eor
      19207;2023052306;    3;   14.0;  85.0;eor
      19207;2023052312;    3;   13.2;  88.0;eor
      19207;2023052318;    3;   12.2;  64.0;eor
      19207;2023052400;    3;    9.8;  79.0;eor
      19207;2023052406;    3;    9.7;  88.0;eor
      19207;2023052412;    3;   15.9;  50.0;eor
      19207;2023052418;    3;   15.9;  54.0;eor
      19207;2023052500;    3;    7.9;  91.0;eor
      19207;2023052506;    3;   11.7;  90.0;eor
      19207;2023052512;    3;   15.1;  60.0;eor
      19207;2023052518;    3;   15.0;  60.0;eor
      19207;2023052600;    3;    6.2;  95.0;eor
      19207;2023052606;    3;    9.6;  77.0;eor
      19207;2023052612;    3;   13.0;  60.0;eor
      19207;2023052618;    3;   14.0;  59.0;eor
      19207;2023052700;    3;    6.8;  91.0;eor
      19207;2023052706;    3;   10.1;  83.0;eor
      19207;2023052712;    3;   18.1;  45.0;eor
      19207;2023052718;    3;   16.9;  56.0;eor
      19207;2023052800;    3;    8.1;  92.0;eor
      19207;2023052806;    3;   10.5;  83.0;eor
      19207;2023052812;    3;   20.2;  45.0;eor
      19207;2023052818;    3;   17.7;  48.0;eor
      19207;2023052900;    3;    8.5;  90.0;eor
      19207;2023052906;    3;   12.1;  72.0;eor
      19207;2023052912;    3;   16.6;  46.0;eor
      19207;2023052918;    3;   15.3;  50.0;eor
      19207;2023053000;    3;    8.5;  81.0;eor
      19207;2023053006;    3;   11.3;  85.0;eor
      19207;2023053012;    3;   18.3;  52.0;eor
      19207;2023053018;    3;   17.6;  56.0;eor
      19207;2023053100;    3;    7.5;  96.0;eor
      19207;2023053106;    3;    9.7;  86.0;eor
      19207;2023053112;    3;   21.1;  36.0;eor
      19207;2023053118;    3;   21.0;  43.0;eor
      19207;2023060100;    3;   12.9;  82.0;eor
      19207;2023060106;    3;   11.1;  74.0;eor
      19207;2023060112;    3;   16.4;  57.0;eor
      19207;2023060118;    3;   16.4;  52.0;eor
      19207;2023060200;    3;    9.5;  88.0;eor
      19207;2023060206;    3;   12.4;  73.0;eor
      19207;2023060212;    3;   16.9;  32.0;eor
      19207;2023060218;    3;   16.3;  30.0;eor
      19207;2023060300;    3;    6.4;  77.0;eor
      19207;2023060306;    3;   12.0;  60.0;eor
      19207;2023060312;    3;   18.3;  28.0;eor
      19207;2023060318;    3;   17.3;  38.0;eor
      19207;2023060400;    3;    6.3;  87.0;eor
      19207;2023060406;    3;   11.4;  69.0;eor
      19207;2023060412;    3;   20.8;  39.0;eor
      19207;2023060418;    3;   18.1;  51.0;eor
      19207;2023060500;    3;    8.9;  95.0;eor
      19207;2023060506;    3;   14.1;  77.0;eor
      19207;2023060512;    3;   22.4;  34.0;eor
      19207;2023060518;    3;   20.0;  44.0;eor
      19207;2023060600;    3;   10.6;  86.0;eor
      19207;2023060606;    3;   15.0;  67.0;eor
      19207;2023060612;    3;   24.3;  35.0;eor
      19207;2023060618;    3;   21.4;  43.0;eor
      19207;2023060700;    3;   10.8;  92.0;eor
      19207;2023060706;    3;   15.2;  71.0;eor
      19207;2023060712;    3;   24.3;  39.0;eor
      19207;2023060718;    3;   22.3;  47.0;eor
      19207;2023060800;    3;   11.7;  92.0;eor
      19207;2023060806;    3;   15.7;  76.0;eor
      19207;2023060812;    3;   24.7;  45.0;eor
      19207;2023060818;    3;   21.7;  35.0;eor
      19207;2023060900;    3;   10.7;  91.0;eor
      19207;2023060906;    3;   15.2;  77.0;eor
      19207;2023060912;    3;   24.7;  38.0;eor
      19207;2023060918;    3;   18.7;  60.0;eor
      19207;2023061000;    3;   11.5;  86.0;eor
      19207;2023061006;    3;   15.5;  75.0;eor
      19207;2023061012;    3;   24.8;  49.0;eor
      19207;2023061018;    3;   19.7;  46.0;eor
      19207;2023061100;    3;   12.3;  78.0;eor
      19207;2023061106;    3;   15.7;  67.0;eor
      19207;2023061112;    3;   24.6;  29.0;eor
      19207;2023061118;    3;   20.8;  50.0;eor
      19207;2023061200;    3;   13.2;  80.0;eor
      19207;2023061206;    3;   17.4;  60.0;eor
      19207;2023061212;    3;   25.6;  22.0;eor
      19207;2023061218;    3;   22.2;  27.0;eor
